,0,1,2
0,이름,가격,배송비
1,마하링크 울트라 UHD 4K 8K HDMI 케이블 2.0 2.1 버전 3D 미니 마이크로 DVI MICRO MINI TO 노트북 C타입,"8,400원",무료배송
2,브랜드 키보드 USB PS2 게이밍 삼성 LG TG 현대 플레오맥스 유선 무선 노트북 컴퓨터 PC 마우스합본 세트,"7,430원",무료배송
3,브랜드 마우스 USB 게이밍 삼성 LG 로지텍 TG 현대 플레오맥스 유선 무선 무소음 저소음 노트북 컴퓨터 PC,"6,490원",무료배송
4,튼튼한 모니터받침대 1단 2단 /PC고정/발받침대/책상/노트북/컴퓨터/본체/선반/키보드/DIY,"7,110원",무료배송
5,[KARAS 총판] 키스킨 노트북키스킨 /삼성 LG HP 레노버 ASUS MSI 한성 ACER 주연테크 기가바이트 등,"8,000원",무료배송
6,본사공식총판/정품]노트북키스킨/키보드커버덮개/삼성NT900X3L/NT900X5L/NT910S3L/NT900X3K/NT500R5L/NT910S5K/NT910S3K/NT270E5K/Q/LG13U360/13UD360/14U360/14UD360/15Z960/15ZD960/13ZD950/15UD760/15U340/15U550,"8,400원",무료배송
7,고급형 2채널 2.1채널 스피커 컴퓨터 노트북 PC USB 사운드바 스피커바 우퍼 모니터 앰프 소형 휴대용 미니,"7,430원",무료배송
8,삼성 플레오맥스 정품마우스 USB 게이밍 유선 무선 컴퓨터 노트북 PC 사무용 무소음 저소음 인체공학,"7,990원",무료배송
9,샤오미 백팩 크로스백 모음전/비지니스 백팩/노트북가방/학생가방,"5,900원","배송비 3,000원"
10,KM-T3011 사이드테이블/ 컴퓨터책상 노트북테이블/ 침대 보조 책상,"31,500원",무료배송
11,리뷰안 900G 240GB SSD 240G SSD하드 데스크탑 노트북,"39,900원",무료배송
12,[7월Event+할인판매]삼성정품/노트북용/PC용/DDR3L 4G PC3 12800/DDR4 8G/1.35V 저전력/DDR34G/DDR38G/일체형PC/DDR4 4GB PC4-17000/10600/하스웰/DDR4/DDR4 16GB/스카이레이크/ddr38gpc3-12800/PC저전력,"62,700원","배송비 3,000원"
