,0
0,리뷰
1,선이 인제 잘 안 되는 게 있는데 뭐냐면은 양쪽이 있으면은 A 와 B 가 있다면은 꼭 노트북에의 연결을 하고 비에 이제 다른 곳에 연결을 해야지만 화면이 안 보여요 만약에 노트북에 비를 연결하고 다른 곳에 에이를 연결을 하면은 화면이 안보여요
2,잘받았음 필요해서 구매함 싼것도 있지만 믿고구매함 배송빠르고 테스트했는데 잘연결됨
3,사용전이긴한데 배송은 빨랐어요
4,좋은제품 잘받았어요
5,아직은 개봉전이예요 필요해서 산 것이니 성능 좋길 바래요
6,그저그렇다그저그렇다 그저그렇다그저그렇다 그저그렇다그저그렇다 그저그렇다그저그렇다
7,빠른배송이네요
8,좋습니다
9,nexi 4k샀는데 노트북이랑 인식안되서 망삘~ 안방에 있는 작은티비는 인식되는데 거실에 있는 티비는 hdmi인식자체가 안됐음 그래서 다른거 찾다 구매했는데 노트북이랑 연결 잘 됨~ 인식하는데까지 12초정도 걸림~ 커버 달려있어서 넘나 좋음
10,"TV에서 간혹 바로 재생이 안되는 파일들이 있어 노트북으로 돌려서 볼려고 구입해봤습니다. HDMI 케이블을 처음 쓰는 것은 아니었지만, 셋톱 박스를 설치할땐 직접 설정을 했던 것이 아니다보니 TV 설정을 봐꿔야하는지 모르고 시작을 했다가 몇 시간 낭패를 봤네요. 세컨 포트에 꼽고 노트북 연결했는데 소리가 안나올때의 황당함이란..;;;; 노트북 설정만 만져대다가 혹시하고 TV 설정을 만지기 시작한 다음 소리가 나오기 시작할 때 감동이... ㅎㅎㅎ 여튼 음질 화질 모두 만족스러웠습니다. 길이를 3M로 했는데 2M할걸 그랬나 싶은거 말고는 아주 만족이네요."
